#{"t_start": 1639327673.1596844, "env_id": null}
r,l,t
-58.47708,1000,9.247101
-59.458954,1000,9.247101
-49.99967,1000,14.935936
-53.57107,1000,14.936936
-56.203964,1000,21.790454
-52.541996,1000,21.790454
-53.794945,1000,28.203173
-53.641937,1000,28.203173
-60.485832,1000,34.513742
-53.068146,1000,34.513742
-59.865726,1000,40.362378
-57.095257,1000,40.362378
-53.40466,1000,46.534232
-58.198856,1000,46.534232
-53.946983,1000,52.343785
-57.74599,1000,52.343785
-47.999733,1000,58.386572
-58.620228,1000,58.38757
-53.736187,1000,64.217318
-57.23636,1000,64.217318
-48.453262,1000,70.590877
-55.326057,1000,70.590877
-55.389866,1000,76.645931
-53.84578,1000,76.645931
-56.043488,1000,83.403506
-55.931774,1000,83.403506
-59.62685,1000,89.854758
-61.904175,1000,89.854758
-52.380585,1000,95.9948
-52.89816,1000,95.9958
-60.264355,1000,102.020349
-58.762413,1000,102.020349
-58.903687,1000,109.03555
-51.55671,1000,109.03555
-52.54203,1000,115.682121
-57.654255,1000,115.682121
-45.312305,1000,122.500054
-57.236347,1000,122.500054
-60.655293,1000,128.610553
-45.31227,1000,128.610553
-54.224915,1000,134.915964
-59.247135,1000,134.915964
-61.289864,1000,141.068301
-66.94158,1000,141.068301
-60.842888,1000,147.853658
-58.860302,1000,147.853658
-50.56999,1000,153.773268
-53.73626,1000,153.773268
-48.616318,1000,160.112612
-52.89807,1000,160.112612
-60.132378,1000,166.31018
-62.837284,1000,166.31018
-56.521275,1000,173.186833
-64.28519,1000,173.186833
