#{"t_start": 1638890458.4311745, "env_id": null}
r,l,t
-82.01371,1000,38.871663
-78.33875,1000,38.872663
-82.20573,1000,38.872663
-66.291565,1000,38.872663
-82.75793,1000,38.872663
-79.75646,1000,38.872663
-86.262985,1000,38.872663
-79.86514,1000,38.872663
-82.81718,1000,38.872663
-73.58425,1000,38.872663
-80.91538,1000,38.872663
-78.57083,1000,38.872663
-77.706314,1000,75.166665
-79.66035,1000,75.166665
-82.20575,1000,75.166665
-79.70942,1000,75.166665
-85.59006,1000,75.166665
-83.33266,1000,75.166665
-85.96419,1000,75.166665
-79.2381,1000,75.166665
-82.63823,1000,75.166665
-69.79798,1000,75.166665
-82.81721,1000,75.166665
-77.01087,1000,75.166665
-68.531044,1000,110.400256
-63.934002,1000,110.400256
-47.826084,1000,110.400256
-59.85372,1000,110.400256
-64.743195,1000,110.400256
-66.6662,1000,110.400256
-79.16605,1000,110.400256
-54.54529,1000,110.400256
-67.637054,1000,110.400256
-58.333027,1000,110.400256
-62.732533,1000,110.400256
-58.333096,1000,110.400256
-83.38803,1000,144.109929
-83.818085,1000,144.109929
-79.838104,1000,144.109929
-83.92214,1000,144.109929
-85.81488,1000,144.109929
-84.49543,1000,144.109929
-81.13145,1000,144.109929
-85.79472,1000,144.109929
-83.38803,1000,144.109929
-81.617004,1000,144.109929
-86.53125,1000,144.109929
-83.65945,1000,144.109929
-83.55193,1000,177.83882
-75.50967,1000,177.83882
-79.020355,1000,177.83882
-80.64449,1000,177.83882
-80.987946,1000,177.83882
-75.50966,1000,177.83882
-83.16429,1000,177.83882
-81.87243,1000,177.839821
-79.23814,1000,177.839821
-81.87242,1000,177.839821
-83.33264,1000,177.839821
-77.77719,1000,177.839821
-92.8563,1000,214.015291
-93.48449,1000,214.015291
-93.05471,1000,214.015291
-92.72643,1000,214.015291
-93.39849,1000,214.015291
-93.37663,1000,214.015291
-92.932014,1000,214.015291
-93.33248,1000,214.015291
-92.36558,1000,214.015291
-93.99313,1000,214.015291
-93.24239,1000,214.015291
-92.03104,1000,214.015291
-92.72643,1000,246.990717
-93.00614,1000,246.990717
-93.50564,1000,246.990717
-93.84529,1000,246.990717
-93.28774,1000,246.990717
-93.84529,1000,246.990717
-93.00614,1000,246.990717
-92.4234,1000,246.990717
-93.21949,1000,246.990717
-92.75278,1000,246.990717
-92.4234,1000,246.990717
-93.17321,1000,246.990717
-93.39849,1000,282.69093
-92.64622,1000,282.69093
-93.19643,1000,282.69093
-93.58889,1000,282.69093
-93.629715,1000,282.69093
-92.90695,1000,282.69093
-93.67003,1000,282.69093
-92.61909,1000,282.69093
-94.44357,1000,282.69093
-93.4202,1000,282.69093
-94.202034,1000,282.69093
-93.05471,1000,282.69093
-90.321724,1000,319.468212
-89.50964,1000,319.468212
-88.80514,1000,319.468212
-90.445,1000,319.468212
-89.61853,1000,319.468212
-90.56518,1000,319.468212
-91.32861,1000,319.468212
-90.65335,1000,319.468212
-89.93204,1000,319.468212
-89.79507,1000,319.468212
-89.435776,1000,319.468212
-89.24647,1000,319.468212
-77.098656,1000,354.491712
-79.86513,1000,354.491712
-77.35792,1000,354.491712
-78.94675,1000,354.491712
-79.02036,1000,354.491712
-79.66037,1000,354.491712
-69.79802,1000,354.491712
-86.37527,1000,354.491712
-76.47002,1000,354.491712
-66.21558,1000,354.491712
-74.72864,1000,354.491712
-80.83001,1000,354.491712
-65.778946,1000,389.79566
-83.27692,1000,389.79666
-82.26885,1000,389.79666
-75.308075,1000,389.79666
-82.50661,1000,389.79666
-73.94081,1000,389.79666
-79.380844,1000,389.79666
-76.270615,1000,389.79666
-82.876045,1000,389.79666
-79.521576,1000,389.79666
-69.34821,1000,389.79666
-82.45548,1000,389.79666
-84.22643,1000,426.57083
-78.798,1000,426.57083
-69.60444,1000,426.57083
-73.85571,1000,426.57083
-84.61468,1000,426.57083
-80.51886,1000,426.57083
-73.78228,1000,426.57083
-63.503307,1000,426.57083
-80.131836,1000,426.57083
-82.99253,1000,426.57083
-61.290028,1000,426.57083
-82.51682,1000,426.57083
-83.92214,1000,465.771433
-82.45548,1000,465.771433
-82.0782,1000,465.771433
-84.22643,1000,465.771433
-83.05018,1000,465.771433
-79.75648,1000,465.771433
-83.38803,1000,465.771433
-82.6983,1000,465.771433
-84.12629,1000,465.771433
-82.93449,1000,465.771433
-84.12629,1000,465.771433
-79.50759,1000,465.771433
-83.40182,1000,503.920422
-80.915405,1000,503.920422
-84.27603,1000,503.920422
-86.11038,1000,503.920422
-81.412,1000,503.920422
-81.54918,1000,503.920422
-84.70877,1000,503.920422
-84.27603,1000,503.920422
-81.75118,1000,503.920422
-83.71267,1000,503.920422
-83.27692,1000,503.920422
-83.818085,1000,503.920422
-83.2208,1000,539.690349
-86.20617,1000,539.690349
-85.01802,1000,539.690349
-83.60587,1000,539.690349
-84.847786,1000,539.690349
-84.5672,1000,539.690349
-84.847786,1000,539.690349
-84.984276,1000,539.690349
-81.20237,1000,539.690349
-84.519424,1000,539.690349
-82.75796,1000,539.690349
-82.01374,1000,539.690349
-84.22643,1000,573.621146
-84.79018,1000,573.621146
-84.12629,1000,573.621146
-82.6983,1000,573.621146
-84.17652,1000,573.621146
-80.61953,1000,573.621146
-86.43994,1000,573.621146
-85.610794,1000,573.621146
-86.57645,1000,573.621146
-82.51682,1000,573.621146
-82.99253,1000,573.621146
-84.755394,1000,573.621146
-82.3315,1000,607.407058
-81.617004,1000,607.407058
-84.42297,1000,607.407058
-86.34739,1000,607.407058
-84.075745,1000,607.407058
-82.93449,1000,607.407058
-85.18448,1000,607.407058
-83.65945,1000,607.407058
-83.33266,1000,607.407058
-82.93449,1000,607.407058
-82.01374,1000,607.407058
-86.34739,1000,607.407058
-81.059975,1000,640.848089
-86.88451,1000,640.848089
-83.27692,1000,640.848089
-86.53125,1000,640.848089
-81.412,1000,640.848089
-83.164314,1000,640.848089
-79.59123,1000,640.848089
-83.10744,1000,640.848089
-81.20237,1000,640.848089
-83.44303,1000,640.848089
-83.97367,1000,640.84909
-81.68434,1000,640.84909
-84.42298,1000,674.500021
-82.20575,1000,674.500021
-81.617004,1000,674.500021
-83.49767,1000,674.500021
-82.0782,1000,674.500021
-83.38803,1000,674.500021
-83.60587,1000,674.500021
-83.55195,1000,674.500021
-83.65945,1000,674.500021
-83.92214,1000,674.500021
-80.61953,1000,674.500021
-81.13145,1000,674.500021
-78.49404,1000,708.294072
-72.972496,1000,708.294072
-78.94678,1000,708.294072
-79.79737,1000,708.294072
-84.70877,1000,708.294072
-79.309746,1000,708.294072
-78.26029,1000,708.294072
-76.97313,1000,708.294072
-63.85511,1000,708.294072
-70.90865,1000,708.294072
-75.43807,1000,708.294072
-76.92252,1000,708.294072
-84.313034,1000,742.839049
-82.81721,1000,742.839049
-83.71267,1000,742.839049
-82.26885,1000,742.839049
-84.075745,1000,742.839049
-86.062,1000,742.839049
-82.3315,1000,742.839049
-87.84118,1000,742.839049
-81.883415,1000,742.839049
-83.44303,1000,742.839049
-82.99253,1000,742.839049
-82.75796,1000,742.839049
-83.33266,1000,778.700101
-82.75796,1000,778.700101
-86.20617,1000,778.700101
-82.51682,1000,778.700101
-80.98796,1000,778.700101
-82.51682,1000,778.700101
-82.0782,1000,778.700101
-85.20638,1000,778.700101
-84.49543,1000,778.700101
-83.92214,1000,778.700101
-80.98796,1000,778.700101
-82.0782,1000,778.700101
-86.53125,1000,814.475467
-83.76555,1000,814.475467
-83.05018,1000,814.475467
-83.92214,1000,814.475467
-82.26885,1000,814.475467
-88.26902,1000,814.475467
-82.39371,1000,814.475467
-83.33266,1000,814.475467
-84.075745,1000,814.475467
-84.075745,1000,814.475467
-82.51682,1000,814.475467
-83.10744,1000,814.475467
-86.84136,1000,850.127187
-86.53125,1000,850.127187
-80.76861,1000,850.127187
-86.57645,1000,850.127187
-85.764404,1000,850.127187
-84.90495,1000,850.127187
-82.876045,1000,850.127187
-85.01802,1000,850.127187
-87.49924,1000,850.127187
-81.883415,1000,850.127187
-84.22643,1000,850.127187
-86.92736,1000,850.127187
-64.41241,1000,885.685409
-59.595703,1000,885.685409
-47.95525,1000,885.685409
-64.285324,1000,885.685409
-63.332783,1000,885.686409
-66.66626,1000,885.686409
-64.85588,1000,885.686409
-60.71398,1000,885.686409
-59.706585,1000,885.686409
-61.16471,1000,885.686409
-41.60583,1000,885.686409
-44.07883,1000,885.686409
-74.35847,1000,921.393702
-83.92213,1000,921.393702
-86.15844,1000,921.393702
-80.83002,1000,921.393702
-85.29341,1000,921.393702
-83.33266,1000,921.393702
-77.07665,1000,921.393702
-84.90495,1000,921.393702
-77.98667,1000,921.393702
-71.83038,1000,921.393702
-83.87028,1000,921.393702
-76.82064,1000,921.393702
-79.59121,1000,956.846368
-79.99925,1000,956.846368
-79.99925,1000,956.846368
-80.26252,1000,956.846368
-81.0119,1000,956.846368
-81.872345,1000,956.846368
-75.80584,1000,956.846368
-77.01077,1000,956.846368
-79.45132,1000,956.846368
