#{"t_start": 1638971022.541722, "env_id": null}
r,l,t
-54.224922,1000,9.114196
-58.332897,1000,12.871311
-55.97434,1000,20.963749
-40.740585,1000,24.713356
-33.333527,1000,31.985181
-46.371983,1000,35.827522
-41.40625,1000,43.009979
-36.026943,1000,46.824351
-63.332928,1000,54.145706
-68.084656,1000,57.92175
-57.654423,1000,65.360556
-65.40837,1000,69.234569
-57.831005,1000,76.594177
-54.86085,1000,80.341171
-57.894413,1000,87.608957
-65.98595,1000,91.436296
-55.47916,1000,98.718669
-43.21754,1000,102.598934
-4.000089,1000,109.792926
-67.0325,1000,113.546411
-55.41374,1000,120.874633
-31.034536,1000,124.689399
3.3333755,1000,132.046258
-50.354385,1000,135.835924
41.221558,1000,143.151087
4.3770146,1000,147.17733
-74.26419,1000,154.491083
-31.654907,1000,158.234723
-47.735012,1000,165.687752
-62.962635,1000,169.678293
-63.333015,1000,176.981876
-66.41754,1000,180.713211
-33.11057,1000,188.802276
-55.017147,1000,192.942257
-70.77874,1000,200.773454
-29.629896,1000,204.995903
-60.47404,1000,212.641893
-27.75674,1000,216.613439
-34.93174,1000,224.179786
-36.66663,1000,228.274888
-8.425178,1000,236.003712
-34.42641,1000,240.266174
-65.86995,1000,244.118165
-40.199455,1000,251.833679
-53.57124,1000,255.649278
-33.774868,1000,263.153335
-62.962654,1000,266.96312
-30.147333,1000,274.524293
-27.481194,1000,278.269922
-69.4911,1000,285.853904
20.438812,1000,289.620195
-29.054317,1000,296.992353
-21.232824,1000,300.831507
-23.566902,1000,308.217741
-15.441009,1000,312.112061
-14.2854185,1000,319.688326
42.34989,1000,323.789031
128.0712,1000,331.335438
49.194817,1000,335.107174
-30.000105,1000,342.480309
17.057678,1000,346.607583
-22.261385,1000,354.103245
154.07167,1000,358.052557
98.81401,1000,365.560652
104.5463,1000,369.415535
135.11009,1000,376.969846
130.1897,1000,380.919912
43.412117,1000,388.529852
-21.8239,1000,392.432055
-18.439432,1000,399.738993
215.43471,1000,403.571549
250.69174,1000,411.113106
73.432816,1000,414.960657
262.67447,1000,422.326289
274.16998,1000,426.394249
213.91321,1000,434.226093
258.106,1000,438.182828
321.42572,1000,445.619598
152.87259,1000,449.584322
74.07457,1000,456.94984
127.72379,1000,461.016641
73.14612,1000,468.890708
257.3984,1000,472.965425
51.625763,1000,480.919705
19.632805,1000,484.847823
213.52922,1000,488.740372
61.513245,1000,496.127292
212.09962,1000,500.142515
521.2742,1000,507.703067
267.94934,1000,511.628306
77.53605,1000,519.307723
210.95119,1000,523.369531
518.2545,1000,530.895576
541.02435,1000,534.975449
312.96652,1000,542.465668
448.38315,1000,546.332828
483.62686,1000,553.682456
370.96417,1000,557.592487
71.618195,1000,564.95308
298.64587,1000,568.834954
-29.3284,1000,576.216751
183.27452,1000,580.126873
315.6945,1000,587.5898
188.07878,1000,591.563145
84.5025,1000,598.814405
226.84512,1000,602.618963
142.30757,1000,609.883939
173.38147,1000,613.680026
165.99171,1000,621.038257
160.07312,1000,624.849191
288.05728,1000,632.216531
33.334465,1000,636.15407
186.21559,1000,643.557108
261.56128,1000,647.536094
61.075005,1000,655.011947
-15.857371,1000,659.05862
292.73715,1000,666.573575
124.68173,1000,670.480836
79.05536,1000,677.820973
53.334526,1000,681.673764
186.62329,1000,689.077684
219.72476,1000,692.895484
271.83826,1000,700.175849
258.80032,1000,704.041687
65.62575,1000,711.40474
175.16727,1000,715.225857
384.09543,1000,722.507802
243.74683,1000,726.333553
246.6647,1000,730.197803
172.10632,1000,737.480244
117.39243,1000,741.289685
315.6594,1000,748.698099
192.30489,1000,752.61386
365.5712,1000,759.977594
499.24805,1000,763.743877
200.6726,1000,771.077153
512.791,1000,774.947957
540.31714,1000,782.219228
438.4575,1000,786.138986
604.319,1000,793.424128
557.2427,1000,797.236979
76.84907,1000,804.558493
505.53275,1000,808.398815
558.18207,1000,815.746577
74.757256,1000,819.600183
277.6938,1000,826.851673
342.1735,1000,830.706645
524.9975,1000,837.970505
565.5654,1000,841.83735
594.1179,1000,849.100708
832.006,1000,852.849688
441.66348,1000,860.299386
278.00363,1000,864.119271
459.37128,1000,871.505525
693.92126,1000,875.368637
538.2223,1000,882.724942
580.85144,1000,886.559672
181.78313,1000,893.879371
450.15976,1000,897.782428
556.35626,1000,905.14603
552.9195,1000,909.055645
43.34597,1000,916.544374
210.55524,1000,920.453945
228.21713,1000,927.824637
573.68524,1000,931.686985
306.24615,1000,939.006902
297.2083,1000,942.845637
603.33356,1000,950.174297
75.49637,1000,954.026453
872.76886,1000,961.273699
392.41956,1000,965.13882
550.41327,1000,968.900276
750.69714,1000,976.228847
651.5346,1000,980.138781
613.2631,1000,987.417168
516.0955,1000,991.345807
435.34952,1000,998.683854
592.0828,1000,1002.631378
666.6694,1000,1009.874953
592.01825,1000,1014.06432
791.70215,1000,1021.465153
753.3903,1000,1025.295509
704.5175,1000,1032.569247
587.0536,1000,1036.41411
806.5084,1000,1043.613316
562.33813,1000,1047.485999
476.6639,1000,1054.839299
184.71895,1000,1058.659887
512.454,1000,1065.985698
699.18427,1000,1069.728638
-49.366978,1000,1077.07606
398.2167,1000,1080.873356
266.0335,1000,1088.184589
459.3179,1000,1092.049444
538.68384,1000,1099.349802
478.9435,1000,1103.243945
404.91412,1000,1110.582455
280.1878,1000,1114.457449
746.46124,1000,1121.68201
614.81396,1000,1125.496749
588.3575,1000,1132.857337
788.89136,1000,1136.725466
329.02768,1000,1144.082581
810.4012,1000,1147.926553
672.7297,1000,1155.171802
517.9366,1000,1159.059218
497.86032,1000,1166.422754
885.969,1000,1170.26305
663.6394,1000,1177.71859
266.7777,1000,1181.588227
914.8073,852,1184.831161
281.81363,1000,1192.232986
712.0649,1000,1196.088673
692.8677,1000,1203.413243
700.0097,1000,1207.28315
674.60803,1000,1214.672379
221.53946,1000,1218.543185
784.4921,1000,1225.956726
303.22137,1000,1229.87661
337.0831,1000,1237.195531
541.02313,1000,1241.082225
461.50992,1000,1248.449067
800.99207,1000,1252.309697
632.489,1000,1259.723409
212.1452,826,1262.923099
207.4397,1000,1270.297054
731.46844,1000,1274.109807
669.2363,1000,1281.41845
773.57007,1000,1285.220132
513.8969,1000,1292.502012
539.1728,1000,1296.360569
712.71533,1000,1303.728582
391.40524,1000,1307.582618
616.0008,1000,1314.840868
624.4909,1000,1318.686332
-69.810814,1000,1325.859176
584.8909,1000,1329.720128
230.27106,1000,1337.127213
550.38446,1000,1340.937144
622.81195,1000,1348.296943
556.3459,1000,1352.19586
616.2694,1000,1359.523941
249.26065,1000,1363.311966
626.41583,1000,1367.207382
234.401,1000,1374.600404
418.14966,1000,1378.482426
727.84753,1000,1385.828732
629.7375,1000,1389.718576
713.8734,1000,1397.050144
44.928825,1000,1400.828623
604.23065,1000,1408.17556
268.05164,1000,1412.011837
626.6486,1000,1419.365155
509.42328,1000,1423.227412
49.561317,1000,1430.594706
440.1901,1000,1434.476743
237.83377,1000,1441.766232
717.21454,1000,1445.61711
554.6139,1000,1452.992484
559.8019,1000,1456.785784
711.6009,1000,1464.101125
246.50061,1000,1467.990707
683.06104,1000,1475.302447
742.1099,1000,1479.150653
328.0777,1000,1486.500618
80.27104,1000,1490.325526
640.74506,1000,1497.606042
655.77466,1000,1501.484355
651.8026,1000,1508.799862
434.67767,1000,1512.714843
684.72375,1000,1520.02717
648.2388,1000,1523.850798
752.2359,1000,1531.196226
854.7118,1000,1535.003521
637.20654,1000,1542.365597
518.86414,1000,1546.170126
566.6694,1000,1553.515888
774.0785,1000,1557.323845
165.62039,1000,1564.684598
846.5706,1000,1568.446785
815.547,1000,1575.938142
851.8564,1000,1580.071223
-16.258247,365,1581.470062
48.277145,1000,1588.786576
584.5668,1000,1592.689003
550.0092,1000,1599.994094
701.4494,1000,1603.857568
602.1332,1000,1611.086668
738.35376,1000,1614.873218
478.35648,1000,1622.177313
66.666824,1000,1625.924228
493.21582,1000,1633.293888
635.3962,1000,1637.164001
600.3487,1000,1644.519881
401.63516,1000,1648.411525
612.50183,1000,1655.785933
546.25726,1000,1659.673788
555.05426,1000,1666.976196
635.8546,1000,1670.771051
527.06433,1000,1678.112036
775.45135,1000,1681.950227
684.56934,1000,1685.849216
